accident_date,accident_time,step,ad_state,acman_rec,acfem_rec,deadman_rec,deadfem_rec,cause_type
2021-07-20 13:19:19,13:19:19,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,เบรคขัดข้อง
2021-07-20 07:31:31,07:31:31,ศรีรัช,ฝนตก,0,0,0,0,สภาพแวดล้อม
2021-07-19 20:34:34,20:34:34,ศรีรัช,ปกติ,1,0,0,0,หลับใน
2021-07-17 18:01:01,18:01:01,อุดรรัถยา,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-07-17 14:10:10,14:10:10,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-07-17 07:25:25,07:25:25,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,ยางแตก
2021-07-16 13:12:12,13:12:12,ศรีรัช,ปกติ,0,0,0,0,ยางแตก
2021-07-15 21:27:27,21:27:27,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2021-07-15 17:24:24,17:24:24,เฉลิมมหานคร,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-07-15 17:11:11,17:11:11,บูรพาวิถี,ปกติ,0,0,0,0,ยางหลังซ้ายแตก
2021-07-14 16:14:14,16:14:14,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ฝ่าฝืนสัญญาณ/ป้ายจราจร
2021-07-14 12:20:20,12:20:20,ฉลองรัช,ฝนตก,0,0,0,0,ขับรถเร็วเกินไป
2021-07-14 08:50:50,08:50:50,ศรีรัช-วงแหวนรอบนอก,ฝนตก,0,1,0,0,ขับรถเร็วเกินไป
2021-07-13 18:20:20,18:20:20,บูรพาวิถี,ปกติ,0,0,0,0,กระบะบรรทุกสูง
2021-07-13 18:14:14,18:14:14,ศรีรัช-วงแหวนรอบนอก,ฝนตก,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-07-13 15:56:56,15:56:56,เฉลิมมหานคร,ปกติ,1,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-07-11 13:51:51,13:51:51,เฉลิมมหานคร,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-07-11 09:25:25,09:25:25,ฉลองรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2021-07-11 00:41:41,00:41:41,อุดรรัถยา,ฝนตก,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-07-10 22:56:56,22:56:56,ศรีรัช,ฝนตก,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-07-09 14:40:40,14:40:40,อุดรรัถยา,ปกติ,0,0,0,0,ขับรถช้าลง
2021-07-09 09:48:48,09:48:48,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-07-09 00:26:26,00:26:26,เฉลิมมหานคร,ปกติ,0,1,0,0,หลับใน
2021-07-08 14:00:00,14:00:00,เฉลิมมหานคร,ปกติ,0,0,0,0,ไม่ดึงเบรคมือทำให้รถไหลตกท่อ
2021-07-08 06:00:00,06:00:00,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-07-07 07:00:00,07:00:00,บูรพาวิถี,ปกติ,1,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-07-06 10:30:30,10:30:30,บูรพาวิถี,ปกติ,1,0,0,0,ขับรถเร็วเกินไป
2021-07-05 18:46:46,18:46:46,บูรพาวิถี,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-07-05 16:10:10,16:10:10,ฉลองรัช,ปกติ,1,0,0,0,ขับรถเร็วเกินไป
2021-07-03 09:21:21,09:21:21,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2021-07-03 02:19:19,02:19:19,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,มึนเมา
2021-06-29 14:27:27,14:27:27,ศรีรัช,ปกติ,1,1,0,0,เปลี่ยนช่องทางกระทันหัน
2021-06-29 12:46:46,12:46:46,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-06-29 03:47:47,03:47:47,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-06-28 21:50:50,21:50:50,เฉลิมมหานคร,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-06-28 16:08:08,16:08:08,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2021-06-28 05:11:11,05:11:11,ฉลองรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-06-27 22:44:44,22:44:44,บูรพาวิถี,ปกติ,1,0,0,0,ขับรถเร็วเกินไป
2021-06-27 20:23:23,20:23:23,ศรีรัช-วงแหวนรอบนอก,ปกติ,1,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-06-26 10:40:40,10:40:40,เฉลิมมหานคร,ปกติ,2,1,0,0,เปลี่ยนช่องทางกระทันหัน
2021-06-26 09:45:45,09:45:45,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ฝ่าฝืนสัญญาณ/ป้ายจราจร
2021-06-25 20:20:20,20:20:20,เฉลิมมหานคร,ปกติ,1,0,0,0,ขับย้อนศร
2021-06-22 17:19:19,17:19:19,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถโดยประมาท
2021-06-22 16:24:24,16:24:24,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2021-06-22 10:20:20,10:20:20,เฉลิมมหานคร,ปกติ,0,0,0,0,บรรทุกยื่นล้ำ
2021-06-21 11:46:46,11:46:46,ศรีรัช,ปกติ,1,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-06-21 10:15:15,10:15:15,ฉลองรัช,ปกติ,0,0,0,0,สภาพแวดล้อม
2021-06-21 06:39:39,06:39:39,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,บรรทุกกว้างยื่นล้ำ
2021-06-20 15:52:52,15:52:52,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2021-06-19 13:43:43,13:43:43,ศรีรัช,ปกติ,1,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-06-19 00:18:18,00:18:18,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-06-18 14:56:56,14:56:56,อุดรรัถยา,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-06-17 10:34:34,10:34:34,ฉลองรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-06-15 21:08:08,21:08:08,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถโดยประมาท
2021-06-15 17:28:28,17:28:28,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-06-15 06:00:00,06:00:00,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-06-14 06:58:58,06:58:58,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2021-06-11 08:39:39,08:39:39,เฉลิมมหานคร,ปกติ,0,0,0,0,เบรคขัดข้อง
2021-06-10 14:32:32,14:32:32,บูรพาวิถี,ปกติ,0,1,0,0,ขับรถเร็วเกินไป
2021-06-08 21:39:39,21:39:39,บูรพาวิถี,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2021-06-08 07:50:50,07:50:50,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,เบรคขัดข้อง
2021-06-05 22:23:23,22:23:23,ศรีรัช,ปกติ,1,0,0,0,หลับใน
2021-06-03 17:47:47,17:47:47,ศรีรัช,ปกติ,0,0,0,0,ช่วงล่างชำรุด
2021-06-03 11:59:59,11:59:59,อุดรรัถยา,ปกติ,1,0,0,0,ยางแตก
2021-06-03 00:30:30,00:30:30,ฉลองรัช,ปกติ,2,1,0,0,สภาพแวดล้อม
2021-06-02 07:15:15,07:15:15,บูรพาวิถี,ปกติ,0,1,0,0,เปลี่ยนช่องทางกระทันหัน
2021-06-02 01:24:24,01:24:24,อุดรรัถยา,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-06-01 20:52:52,20:52:52,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-06-01 20:50:50,20:50:50,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-06-01 19:10:10,19:10:10,ศรีรัช,ปกติ,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-06-01 03:51:51,03:51:51,ทางหลวงพิเศษหมายเลข 37,ปกติ,2,0,0,0,ขับรถเร็วเกินไป
2021-05-31 08:49:49,08:49:49,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2021-05-31 07:46:46,07:46:46,บางพลี-สุขสวัสดิ์,ปกติ,0,0,0,0,ฝ่าฝืนสัญญาณ/ป้ายจราจร
2021-05-31 01:01:01,01:01:01,ทางหลวงพิเศษหมายเลข 37,ปกติ,1,1,0,0,หลับใน
2021-05-30 23:57:57,23:57:57,บูรพาวิถี,ฝนตก,0,1,0,1,หลับใน
2021-05-29 21:00:00,21:00:00,ศรีรัช,ฝนตก,0,0,0,0,เปลี่ยนช่องทางกระทันหัน
2021-05-29 20:47:47,20:47:47,ทางหลวงพิเศษหมายเลข 37,ฝนตก,0,0,0,0,ขับรถเร็วเกินไป
2021-05-29 15:40:40,15:40:40,ศรีรัช,ปกติ,0,1,0,0,เปลี่ยนช่องทางกระทันหัน
2021-05-29 15:30:30,15:30:30,ฉลองรัช,ปกติ,1,1,0,0,เปลี่ยนช่องทางกระทันหัน
2021-05-29 03:32:32,03:32:32,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
